# Frequency (eV) 	 Current Real 	 Imaginary
0.248058	-4.0408e-05	-0.00228466
0.248425	-4.64301e-05	-0.00229226
0.248793	-5.22168e-05	-0.00230061
0.24916	-5.76916e-05	-0.00230966
0.249528	-6.27834e-05	-0.00231939
0.249895	-6.74261e-05	-0.00232974
0.250263	-7.15596e-05	-0.00234067
0.25063	-7.51302e-05	-0.00235212
0.250998	-7.80903e-05	-0.00236402
0.251365	-8.03993e-05	-0.00237632
0.251733	-8.20234e-05	-0.00238894
0.2521	-8.29359e-05	-0.00240181
0.252468	-8.31174e-05	-0.00241486
0.252835	-8.25558e-05	-0.00242803
0.253203	-8.12464e-05	-0.00244123
0.25357	-7.91918e-05	-0.00245439
0.253938	-7.64019e-05	-0.00246743
0.254305	-7.28939e-05	-0.0024803
0.254673	-6.86919e-05	-0.00249292
0.25504	-6.38264e-05	-0.00250522
0.255408	-5.83346e-05	-0.00251715
0.255775	-5.22593e-05	-0.00252864
0.256143	-4.56484e-05	-0.00253965
0.25651	-3.85547e-05	-0.00255013
0.256878	-3.10346e-05	-0.00256003
0.257245	-2.31478e-05	-0.00256933
0.257613	-1.49565e-05	-0.002578
0.25798	-6.52401e-06	-0.00258602
0.258348	2.08535e-06	-0.00259337
0.258715	1.08075e-05	-0.00260005
0.259083	1.9579e-05	-0.00260606
0.25945	2.83382e-05	-0.00261139
0.259818	3.70252e-05	-0.00261607
0.260185	4.5583e-05	-0.0026201
0.260553	5.39573e-05	-0.00262352
0.26092	6.20969e-05	-0.00262633
0.261288	6.99539e-05	-0.00262857
0.261655	7.74839e-05	-0.00263026
0.262023	8.46452e-05	-0.00263145
0.26239	9.13993e-05	-0.00263215
0.262758	9.77104e-05	-0.00263241
0.263125	0.000103545	-0.00263226
0.263493	0.000108871	-0.00263175
0.26386	0.000113659	-0.0026309
0.264228	0.00011788	-0.00262976
0.264595	0.000121507	-0.00262836
0.264963	0.000124514	-0.00262676
